City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
264,anadyr,64.75,177.4833,-33.74,98,35,5.37,RU,1644477156
265,antofagasta,-23.65,-70.4,65.48,84,0,0.4,CL,1644477160
266,sakassou,7.4546,-5.2926,70.63,35,0,1.77,CI,1644477164
267,bowmore,34.9421,-79.3031,44.89,70,0,0.0,US,1644477167
268,vostok,46.4856,135.8833,19.42,88,98,3.22,RU,1644477171
269,daru,-9.0763,143.2092,84.24,71,100,8.63,PG,1644477173
270,ziarat,30.3823,67.7282,42.39,16,0,6.35,PK,1644477176
271,avera,33.194,-82.5271,48.7,67,0,6.85,US,1644477178
272,petropavlovsk-kamchatskiy,53.0452,158.6483,22.78,74,75,2.24,RU,1644477180
273,ganzhou,28.8184,115.4327,44.46,78,100,3.42,CN,1644477183
274,goundam,16.4145,-3.6708,62.22,12,47,11.97,ML,1644477185
275,jutai,-5.1833,-68.9,70.74,99,100,2.13,BR,1644477189
276,marion,39.7684,-86.1555,37.74,70,100,12.66,US,1644477010
277,rockland,41.1668,-74.0496,38.64,90,81,3.13,US,1644477194
278,clyde river,70.4692,-68.5914,-12.77,77,100,19.57,CA,1644477196
279,hillsborough,37.5741,-122.3794,64.65,44,0,0.0,US,1644477198
280,warrington,53.3925,-2.5802,41.81,79,40,9.22,GB,1644477201
281,ilulissat,69.2167,-51.1,-16.87,95,98,12.95,GL,1644477203
282,nikolskoye,59.7035,30.7861,33.87,91,30,9.33,RU,1644477205
283,micomeseng,2.1462,10.6164,72.72,86,100,1.97,GQ,1644477210
284,geraldton,-28.7667,114.6,90.01,35,0,13.8,AU,1644477212
285,nacogdoches,31.6002,-94.6335,45.79,82,0,0.0,US,1644477214
286,abha,18.2164,42.5053,62.85,39,0,17.27,SA,1644477217
287,soure,-0.7167,-48.5233,75.87,90,82,6.64,BR,1644477219
288,coahuayana,18.7333,-103.6833,64.94,69,0,4.54,MX,1644477221
289,lingao,19.9103,109.6859,72.36,83,100,14.63,CN,1644477226
290,lazaro cardenas,17.9583,-102.2,69.06,82,0,4.68,MX,1644477228
291,zaranj,30.9667,61.8833,61.66,18,0,3.67,AF,1644477230
292,port elizabeth,-33.918,25.5701,74.12,61,0,7.27,ZA,1644477233
293,arraial do cabo,-22.9661,-42.0278,69.51,94,100,3.6,BR,1644477235
294,san rafael,-34.6177,-68.3301,74.41,40,4,8.03,AR,1644477237
295,meulaboh,4.1363,96.1285,81.93,70,100,4.61,ID,1644477240
296,havre-saint-pierre,50.2334,-63.5986,24.44,95,100,1.5,CA,1644477242
297,baoding,38.8511,115.4903,50.29,21,83,8.9,CN,1644477244
298,ohara,35.25,140.3833,37.35,90,100,9.08,JP,1644477249
299,yeppoon,-23.1333,150.7333,89.38,63,8,14.63,AU,1644477251
300,kaitangata,-46.2817,169.8464,63.25,90,34,2.64,NZ,1644477253
301,damghan,36.1683,54.348,46.81,35,83,1.97,IR,1644477256
302,winnemucca,40.973,-117.7357,30.25,80,0,0.0,US,1644477258
303,manado,1.487,124.8455,88.57,66,40,9.22,ID,1644477260
304,ornskoldsvik,63.2909,18.7153,27.55,86,10,11.5,SE,1644477263
305,tarko-sale,64.9225,77.785,-2.06,83,3,12.88,RU,1644477265
306,broome,42.2506,-75.833,40.91,72,40,6.91,US,1644477267
307,evensk,61.95,159.2333,-11.85,78,74,5.48,RU,1644477269
308,amapa,1.0,-52.0,70.39,100,100,2.17,BR,1644477272
309,cayenne,4.9333,-52.3333,76.08,89,75,3.0,GF,1644477274
310,nicoya,10.1483,-85.452,72.52,80,6,3.62,CR,1644477276
311,dali,25.7,100.1833,58.59,30,4,10.0,CN,1644477279
312,gushikawa,26.3544,127.8686,63.99,70,100,17.27,JP,1644477281
313,vanimo,-2.6741,141.3028,84.15,70,63,4.29,PG,1644477283
314,burnie,-41.0667,145.9167,65.95,48,0,14.05,AU,1644477286
